File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022117104001_aid0001,SDS_LST,aid0001,2022-04-27 10:40:01 UTC,21588,005,0601,True,1948.0,282.26,289.6,"(282.26,289.6)",285.2762526,0.8116081,0.6587077,285.8,287.4,285.24,283.1,284.715
ECO2LSTE_001_SDS_LST_doy2022120095150_aid0001,SDS_LST,aid0001,2022-04-30 09:51:50 UTC,21634,001,0601,True,1948.0,283.64,287.86,"(283.64,287.86)",285.1736858,0.5595592,0.3131065,285.48,286.5,285.14,283.82,284.795
ECO2LSTE_001_SDS_LST_doy2022122162419_aid0001,SDS_LST,aid0001,2022-05-02 16:24:19 UTC,21669,012,0601,True,1958.0,279.28,282.06,"(279.28,282.06)",280.2015628,0.3165548,0.100207,280.32,280.8,280.14,279.54,280.0
ECO2LSTE_001_SDS_LST_doy2022124081538_aid0001,SDS_LST,aid0001,2022-05-04 08:15:38 UTC,21694,001,0601,True,1945.0,283.34,289.42,"(283.34,289.42)",285.1053162,0.7352906,0.5406523,285.56,287.02,285.02,283.34,284.58
ECO2LSTE_001_SDS_LST_doy2022126144724_aid0001,SDS_LST,aid0001,2022-05-06 14:47:24 UTC,21729,012,0601,True,1952.0,287.1,290.62,"(287.1,290.62)",289.2402357,0.4850994,0.2353215,289.585,290.34,289.26,288.0,288.94
ECO2LSTE_001_SDS_LST_doy2022128063841_aid0001,SDS_LST,aid0001,2022-05-08 06:38:41 UTC,21755,005,0601,False,1712.0,283.18,289.06,"(283.18,289.06)",287.1797196,0.8383196,0.7027798,287.7,288.78,287.3,285.72,286.9
ECO2LSTE_001_SDS_LST_doy2022128063933_aid0001,SDS_LST,aid0001,2022-05-08 06:39:33 UTC,21755,006,0601,False,1804.0,282.96,292.76,"(282.96,292.76)",287.2102106,1.0374304,1.0762618,287.74,289.04,287.28,285.44,286.82
ECO2LSTE_001_SDS_LST_doy2022130131033_aid0001,SDS_LST,aid0001,2022-05-10 13:10:33 UTC,21791,011,0601,True,1959.0,279.2,285.44,"(279.2,285.44)",280.9613783,0.7693094,0.591837,281.42,282.92,280.82,279.2,280.4
ECO2LSTE_001_SDS_LST_doy2022133122240_aid0001,SDS_LST,aid0001,2022-05-13 12:22:40 UTC,21837,016,0601,False,1946.0,283.64,288.76,"(283.64,288.76)",285.6966906,0.8028621,0.6445876,286.24,287.88,285.66,283.64,285.12
ECO2LSTE_001_SDS_LST_doy2022136032546_aid0001,SDS_LST,aid0001,2022-05-16 03:25:46 UTC,21878,003,0601,False,1692.0,291.18,541.04,"(291.18,541.04)",302.4877423,27.9806429,782.9163762,293.38,294.8,292.8,291.18,292.42
ECO2LSTE_001_SDS_LST_doy2022137104700_aid0001,SDS_LST,aid0001,2022-05-17 10:47:00 UTC,21898,014,0601,False,1937.0,281.74,286.86,"(281.74,286.86)",283.3536293,0.64059,0.4103555,283.74,285.0,283.24,281.74,282.9
ECO2LSTE_001_SDS_LST_doy2022140015146_aid0001,SDS_LST,aid0001,2022-05-20 01:51:46 UTC,21939,002,0601,True,1965.0,282.44,284.76,"(282.44,284.76)",283.3333232,0.278332,0.0774687,283.52,284.08,283.34,282.6,283.14
ECO2LSTE_001_SDS_LST_doy2022141091202_aid0001,SDS_LST,aid0001,2022-05-21 09:12:02 UTC,21959,016,0601,False,1953.0,274.88,278.12,"(274.88,278.12)",276.0711623,0.4272753,0.1825642,276.26,276.94,276.04,275.12,275.8
ECO2LSTE_001_SDS_LST_doy2022144001551_aid0001,SDS_LST,aid0001,2022-05-24 00:15:51 UTC,22000,002,0601,True,1954.0,298.86,305.5,"(298.86,305.5)",302.6508905,0.9538906,0.9099072,303.32,305.12,302.74,300.3,302.1
ECO2LSTE_001_SDS_LST_doy2022147224006_aid0001,SDS_LST,aid0001,2022-05-27 22:40:06 UTC,22061,003,0601,True,59.0,291.72,293.16,"(291.72,293.16)",292.480678,0.2722901,0.0741419,292.72,293.16,292.46,291.72,292.3
ECO2LSTE_001_SDS_LST_doy2022147224058_aid0001,SDS_LST,aid0001,2022-05-27 22:40:58 UTC,22061,004,0601,True,1963.0,285.86,295.76,"(285.86,295.76)",291.1981457,2.0961206,4.3937217,292.84,295.76,291.74,285.86,289.74
ECO2LSTE_001_SDS_LST_doy2022149060059_aid0001,SDS_LST,aid0001,2022-05-29 06:00:59 UTC,22081,016,0601,True,1942.0,286.34,290.42,"(286.34,290.42)",287.7574665,0.4968094,0.2468195,288.06,289.02,287.74,286.48,287.42
ECO2LSTE_001_SDS_LST_doy2022151210503_aid0001,SDS_LST,aid0001,2022-05-31 21:05:03 UTC,22122,004,0601,True,1955.0,310.92,321.6,"(310.92,321.6)",317.5588031,1.5148243,2.2946926,318.58,321.1,317.88,313.94,316.72
ECO2LSTE_001_SDS_LST_doy2022153042500_aid0001,SDS_LST,aid0001,2022-06-02 04:25:00 UTC,22142,017,0601,True,1938.0,290.96,294.62,"(290.96,294.62)",292.4379773,0.5461864,0.2983195,292.78,293.84,292.38,291.0,292.06
ECO2LSTE_001_SDS_LST_doy2022154201624_aid0001,SDS_LST,aid0001,2022-06-03 20:16:24 UTC,22168,005,0601,True,717.0,310.66,317.96,"(310.66,317.96)",314.9532218,1.1902131,1.4166073,315.8,317.96,315.14,311.86,314.2
ECO2LSTE_001_SDS_LST_doy2022155192824_aid0001,SDS_LST,aid0001,2022-06-04 19:28:24 UTC,22183,004,0601,True,1954.0,280.56,286.48,"(280.56,286.48)",282.6779324,0.9612625,0.9240256,283.12,284.8,282.5,280.56,282.0
ECO2LSTE_001_SDS_LST_doy2022157024844_aid0001,SDS_LST,aid0001,2022-06-06 02:48:44 UTC,22203,018,0601,True,1962.0,293.9,298.14,"(293.9,298.14)",295.904159,0.5798023,0.3361707,296.3,297.48,295.88,294.3,295.5
